yr,month,skj_bkk,skj_thai,yft_thai
2023,apr,2000,1790.895339,2040.353506
2023,may,2000,1874.731331,2122.744843
2023,jun,2000,1900.20657,2102.015583
2023,jul,1900,2006.844178,2443.725156
2023,aug,1800,1938.969883,2276.515736
2023,sep,1700,1916.778143,2149.382056
2023,oct,1600,1876.216917,2202.65574
2023,nov,1500,1886.961387,2235.127913
2023,dec,1450,1799.920659,2080.147759
2024,jan,1400,1616.804685,2046.044813
2024,feb,1300,1511.204337,1927.628828
2024,mar,1300,1485.3,2050.828446
